"SUID","__gpml:GraphID","__gpml:textlabel","__gpml:XrefDatasource","__gpml:XrefId","BorderStyle","BorderThickness","Color","direction","Ensembl","FillColor","gsea rank","Height","HGNC","IsGPMLShape","LabelFont","LabelSize","name","parent","position","ptm","selected","Shape","shared name","Transparent","Type","Width"
"106","c7c","WNT2","Entrez Gene","7472","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT2","","","","false","Rectangle","WNT2","false","GeneProduct","60.0"
"107","c75","CTNNB1","Entrez Gene","1499","","1.0","#000000","","","#ffffff","-0.01213825890268","20.0","null","false","Dialog.plain","10.0","CTNNB1","","","","false","Rectangle","CTNNB1","false","GeneProduct","60.0"
"108","c72cf","PPP3CA","Ensembl","ENSG00000138814","","1.0","#000000","","ENSG00000138814","#ffffff","0.127351216394524","20.0","PPP3CA","false","Dialog.plain","10.0","PPP3CA","","","","false","Rectangle","PPP3CA","false","GeneProduct","60.0"
"109","c6d","WNT5B","Entrez Gene","81029","","1.0","#000000","","","#ffffff","3.7884830017771","20.0","null","false","Dialog.plain","10.0","WNT5B","","","","false","Rectangle","WNT5B","false","GeneProduct","60.0"
"110","c54ec","PPP3CC","Ensembl","ENSG00000120910","","1.0","#000000","","ENSG00000120910","#ffffff","-0.284461477310252","20.0","PPP3CC","false","Dialog.plain","10.0","PPP3CC","","","","false","Rectangle","PPP3CC","false","GeneProduct","60.0"
"111","c3d","FZD7","Entrez Gene","8324","","1.0","#000000","","","#ffffff","-0.342716723845563","20.0","null","false","Dialog.plain","10.0","FZD7","","","","false","Rectangle","FZD7","false","GeneProduct","48.247"
"112","c22","FZD10","Entrez Gene","11211","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","FZD10","","","","false","Rectangle","FZD10","false","GeneProduct","48.247"
"113","c13ca","LRP5","Entrez Gene","4041","","1.0","#000000","","","#ffffff","1.75410945376792","27.287","null","false","Dialog.plain","10.0","LRP5","","","","false","Rectangle","LRP5","false","GeneProduct","45.757"
"114","c0d","JUN","Entrez Gene","3725","","1.0","#000000","","","#ffffff","-0.386403300903545","20.0","null","false","Dialog.plain","10.0","JUN","","","","false","Rectangle","JUN","false","GeneProduct","60.0"
"115","c04","PRKCA","Entrez Gene","5578","","1.0","#000000","","","#ffffff","-1.00627770908025","20.0","null","false","Dialog.plain","10.0","PRKCA","","","","false","Rectangle","PRKCA","false","GeneProduct","60.0"
"116","be6","WNT1","Entrez Gene","7471","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT1","","","","false","Rectangle","WNT1","false","GeneProduct","60.0"
"117","b9f","WNT11","Entrez Gene","7481","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT11","","","","false","Rectangle","WNT11","false","GeneProduct","60.0"
"118","b933c","TCF7L2","Ensembl","ENSG00000148737","","1.0","#000000","","ENSG00000148737","#ffffff","0.115704560013044","20.0","TCF7L2","false","Dialog.plain","10.0","TCF7L2","","","","false","Rectangle","TCF7L2","false","GeneProduct","60.0"
"119","b8f","WNT7A","Entrez Gene","7476","","1.0","#000000","","","#ffffff",,"20.0","null","false","Dialog.plain","10.0","WNT7A","","","","false","Rectangle","WNT7A","false","GeneProduct","60.0"
"120","b5c92","TCF7L1","Ensembl","ENSG00000152284","","1.0","#000000","","ENSG00000152284","#ffffff","1.33280770188561","20.0","TCF7L1","false","Dialog.plain","10.0","TCF7L1","","","","false","Rectangle","TCF7L1","false","GeneProduct","60.0"
